001,Title -- 245^$0$0$a,Publication -- 260^$ $ $a,Publication Frequency -- 310^$ $ $a,"Production, Publication -- 264^$ $1$c",Topical Term -- 650^$ $7$2,Index Term -- 653^$ $6$a,Electronic Access -- 856^$ $2$u,710,246,500,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,110,901,692,250,525,600,983,505,record - leader,008,035,040,336,337,338,996,998
9918806510101480,Spoed-info,Brussel,Unknown,,,,,^$2$ $aNationale confederatie van ouderverenigingen.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00600nas  2200193u  4500,971029d19859999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001880651LBS01-Aleph^$ $ $a7212254^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918806510101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,federatie besturen.,NCOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1985]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918826960101480,Salesiaans missienieuws.,Brussel,Quarterly,,,,,^$2$ $aDMOS.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00560nas  2200193u  4500,971106q19851987be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001882696LBS01-Aleph^$ $ $a7222064^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918826960101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,DMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1985]-[1987],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918829630101480,^$0$3$aDe syndicale jongerenkrant,S.l.,Quarterly,,,,,^$2$ $aACV$ $ $4oth^$2$ $aVKAJ.$ $ $4oth^$2$ $aKajottersbeweging$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00735nas  2200217u  4500,971106d19849999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001882963LBS01-Aleph^$ $ $a7223288^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918829630101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,driemaandelijks tijdschrift ACV - VKAJ - Kajottersbeweging /,ACV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uitg. ACV in samenwerking met VKAJ en Kajottersbeweging.,1984-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918835320101480,Ter Munk.,Brussel,Quarterly,,,,,^$2$ $aVormingscentrum Ter Munk$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00582nas  2200193u  4500,971110q19821984be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001883532LBS01-Aleph^$ $ $a7226032^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918835320101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,Vormingscentrum Ter Munk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1982-[1984],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
